reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOF-c-EEt6XXY7tQWVA4BphnQOXhq_vgVuWyxp-3FyA7U9OYjpv2z6YoI3he5WtnjFGdBEqopPEF1UR0VXY,Dadang Saputra,https://play-lh.googleusercontent.com/a-/AOh14Gi_iI30j2_aCdf1Lt5yBo19fVYkhiIZrTjhcj8DiQ,"Tolong ditingkatkan kembali aplikasinya, agar pengguna mudah dalam penggunaan aplikasi tsb. Tampilan UI nya juga sudah bagus untuk ditampilkan di layar.",5,32,1.2.42,2022-03-08 14:48:26,"Hi kak, Terima kasih atas ulasannya ya. Kami akan terus berusaha untuk memberikan yang terbaik :) #IB",2022-03-08 15:20:13
gp:AOqpTOGNLDcNvX1ccAIP64goeWBLnVE7LiWRcjQQ8F4D_oWweMozCJng1fGe5C1u9texzjz27taRh9i9iYGcGkM,Siti Rizky Amalia,https://play-lh.googleusercontent.com/a/AATXAJwgt9iuhwRTgrONH8oKEkmNeiUTZ45XvPnT6qUj=mo,"Hai admin.. Kok aplikasi jaki saya tidak bisa untuk SKLM yaa di jaksurvei? ada permintaan untuk login tapi ga ada kolom login nya dan harus sinkron ke Google, padahal sebelum2nya bisa digunakan tanpa kendala.",4,25,1.2.42,2022-03-11 18:38:14,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #NL",2022-03-14 11:21:10
gp:AOqpTOEUBtqZ65UQHcKfqx4S5zJ09KPKw2s5dCjb1qI_u33iwu8jFYsEuPlnHZiWLZmo5zzKZX_Ff-DTUYms5Xs,Nona Sibuk,https://play-lh.googleusercontent.com/a-/AOh14GjTo-1kR3-z0coxefdRwDn5HOviBgGV_mhb-dHlVkA,"Ini lokasinya ga bisa buka susah banget udah coba beberapa kali tiap hari tapi tetep aja sulit. Mau pilih lokasi aja sulit padalah kalau di liat kuota vaksin masih banyak. Ga bisa apa pake 1 aplikasi yg bisa semunya. Ini pake peduli lindungi trus jaki, belum lagi Bpjs terlalu banyak banget yang harus di pake aplikasinya. Kalau HPnya mendukung kalau ga kan kasian. Terimakasih sudah merepotkan warga Indonesia",1,23,1.2.42,2022-03-23 12:07:12,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IG",2022-03-23 20:00:58
gp:AOqpTOGKDcpcrXWpd6Y0yysD08dWFBjC03J_vx_VXV7F2g7WFdxD6kuO3Ar29M7GGXtN5Sap0F6M-YheUjWhSeg,Imam Solikin,https://play-lh.googleusercontent.com/a-/AOh14GhtKxGAubpl4JMR-tiLXXOURq7ti3tfn7ZkZKxmLA,"Ini knapa yaa saya cek jadwal vaksin nik sama nama ga sesuai ktp terdaftar yaa, sebelumnya sudah mnjadwalkan vaksin booster, cuma pas ctak kartu kendali nama nya malah tercantum nomor telpon bukan nama orang, pas coba masukin ulang nik dan nama, malah nik dan nama tidak sesuai ktp terdaftar ini gmn tolong dong, duah puluhan kali coba masukin sesuai ktp selalu d bilang tidak sesuai dengan ktp terdaftar, padahal pas penjadwalan vaksin booster bisa, setelah terdaftar malah ga bisa anehhh",2,3,1.2.42,2022-03-23 21:51:07,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IG",2022-03-24 09:10:29
gp:AOqpTOGLcjWBHH5gCMZwtRlF1fiebVYk_d8plqGd6EDVHfXUMBqMleSTUXTME13aPitHGD71xJz-rKrHKbpuGh8,Yukeu Rachmawati,https://play-lh.googleusercontent.com/a/AATXAJzpV2Wdsz0HXoWru-pVuVhCJFqYuxovdLB9ZDaQ=mo,assalamualaikum jaki now saya enggak bisa buka jaki berputar terus jd enggak bisa buka instalnya. padahal ini buka lagi play store jaki yang baru. enggak habis pikir. jadi saya belum bisa kirim jaki survei,3,2,1.2.42,2022-03-14 12:59:42,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #TA",2022-03-14 16:05:26
gp:AOqpTOHRIo1W_bROvdVESvT1qE6hYBaOLAFURkGihRV1b6MtJu-3V-cXcK37B1C_CEDPC7xKwWK_LqD3RIDON8A,Henry T.D.,https://play-lh.googleusercontent.com/a/AATXAJytdSw0sCsSvsnZNjTWnIDB7pw4eqO4nEI3E8BY=mo,"saya sudah vaksin kedua dan sudah dapat tiket booster di peduli lindungi, kenapa di aplikasi JAKI status saya belum vaksin sama sekali, lantas bagaimana saya daftar boosternya? aplikasi pemerintah koq tidak saling link , data bisa tidak sama, tolong di perbaiki baru saya tambahin bintangnya",1,26,1.2.42,2022-03-04 14:52:51,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IP",2022-03-04 18:09:20
gp:AOqpTOFSaSlZaWVrv4Xv8YD9Plg38-_HUm9HWGtVTd9puCn4uEeoa0mPeU7vPZV0UmFZCNvrVnUsmwx-W0muifI,Syarhan Perdana,https://play-lh.googleusercontent.com/a-/AOh14GjrBoAhOFFGg5FXzq1UiWCgy2s16H-N2SJAA9YmmQ,"Gw udh beberapa kali mau vaksin.. selalu saja di lokasi ga diterima untuk umuran gw dgn alasan regulasinya harus 18 th kebawah.. Padahal di aplikasi JAKI nya sndiri ada lokasi itu tertera dan gw udh daftar ga ada penolakan. Pas Gw udh jauh2 ke lokasi org lokasinya malah blg, kita ga terhubung dgn JAKI. lahhh, truss napa ada nama lokasi itu dijaki dan bisa ke register!!!",1,11,1.2.42,2022-02-23 11:35:59,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #BR",2022-02-23 12:11:53
gp:AOqpTOGL51Fi1wnDzq0nVW_DGjw6lfTDuiiEEdndvtlxsmO-Xq7S3oHTiShJ0Oue8r6zZMJzTb9NLI9dm1EWa9A,HAGI GE 21,https://play-lh.googleusercontent.com/a-/AOh14Gh6a5W2HQbL2xufpuAE_cBisbqwPiS0tFEC6NXK,"Kok mau update di ubah profil selalu, request rejected you support id, kek ga gabisa kenapa dah?",1,0,1.2.44,2022-05-13 08:44:38,,
gp:AOqpTOH-kmC0rheSWxkzcSVgZ16LBJaSP9D5w9kmL4zTjRGARaRj17n4e-ks6Z3JKu_t6L1XXkJ7cyLOZbKl4Sc,Delvi Pakpahan,https://play-lh.googleusercontent.com/a-/AOh14GjG9d14jx1Z3t1Zpo-DC2N7TzFk-4RzFy_1FmQgQQ,"Mau registrasi aja susah, diminta aktifasi lewat link yg dikirim ke email tapi di cek berkali2 tidak ada email masuk.",2,0,1.2.44,2022-04-26 09:07:45,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id. Kakak juga dapat menggunakan ""Masuk dengan Google"" untuk melakukan registrasi akun JAKI. Terima kasih telah menggunakan JAKI :) #IG",2022-04-27 17:25:23
gp:AOqpTOGLJg4YVIttvNBKXnkGoGHioo3u_5DzpUeEMvUChZdardMu-DgQOXhtP0Nv6WY_Ij0IE_cGu9HXwOG5Zwo,Arini Wati,https://play-lh.googleusercontent.com/a-/AOh14Gj9fQbvxfgncnemEzM7O12pyL7ICpOxQteyGoYXUA,"Kode verifikasi email berkali² tidak dikirim, tolong diperbaiki dong sistemnya.",2,0,1.2.44,2022-04-25 15:56:33,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #TA",2022-04-26 15:29:56
gp:AOqpTOHabSKZupZE95D7x570V4bXTZ9PnkOZvgtztuFRmtakvFskhE78mLzUK40u9zlR2QJsnlr3llCCZMiGmgQ,Wawan Ae,https://play-lh.googleusercontent.com/a-/AOh14Gg0o9pz6_p9AaJsDJU9rN0lT1fOuS5La37a-CULNw,Kirain satu aplikasi bisa mencakup semua hal.. Ternyata isi nya kaya playstore juga.. Banyak aplikasi yang perlu di install juga.. Sirukim Jaksiape Alpukat betawi iJakarta Jakone mobil MRT-J Tijeku Molecool Entah apalagi..,3,2,1.2.42,2022-03-15 18:56:59,"Hi kak, Terima kasih atas ulasannya ya. Kami akan terus berusaha untuk memberikan yang terbaik :) #IG",2022-03-16 10:32:38
gp:AOqpTOEjVKikhGmkscgDtXl1KT4Tbc2EDH8aYmc44Zllvcd_T3MTpCSe6PC5vPFL-ausKXdlvP9_IT5ACKMT5xQ,muhammad bilal,https://play-lh.googleusercontent.com/a-/AOh14GifUEkTLSZy0_68zftp88_ToD2nwksxYtyGZcFp,Terimakasih gan. Atas. Aplikasi. Nya. Sangatlah membantu dalam kegiatan saya sehari hari. Mantaf. Gan..,5,0,1.2.43,2022-04-05 12:03:15,"Hi kak, Terima kasih atas ulasannya ya. Kami akan terus berusaha untuk memberikan yang terbaik :) #TA",2022-04-05 10:46:08
gp:AOqpTOEMsbHiiLw9QejHchoPdhH0QH7BxBAeLrCPfxaq3Nqgx0TLoJcbUmhwk6Yt8oYm6yYDI4CpuH2zZL2jNG4,Razak Muhammad,https://play-lh.googleusercontent.com/a-/AOh14GjApQ6jDcyUJAnhZ_tFR62cRLsNfojsCMPOkpK1,"Apps lemot servernya lama respon nya, mohon d tingkat kan lagi kualitasnya",2,0,1.2.43,2022-04-07 22:24:08,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #BR",2022-04-08 12:33:07
gp:AOqpTOEj8scXbzJCSY_BrvcvHvHDN-EOAaXS4aIKjUiB9-ItY3y1m_K6TUtKGVTw5kaVTA-rC0wCygpvBq_VgPw,Mardhi Bond,https://play-lh.googleusercontent.com/a-/AOh14GiYRIaK8hCiZlpWq0lWTJ0vriV_40sdNFmkYpre-A,"Tambahkan juga data imunisasi yang diambil sewaktu masih kecil. Jangan cuma vaksinasi covid Sekaligus, lindungin data yang ngelapor, JANGAN SAMPAI BOCOR!!!",5,0,1.2.43,2022-04-13 14:36:24,"Hi kak, untuk melihat CCTV di JAKI, untuk sementara kakak bisa melihat di menu Kolaborasi Membangun Jakarta kemudian pilih launcher Molecool. Terima kasih kak :)",2021-02-04 17:24:24
gp:AOqpTOFsaNDPn0mIozHj_vyurm4jsvwEbF7ZH3Ydg70kQhdeDEbHT6IoAt610jKJj9N5hRknmWep13lCpEsdZp8,WhyUD L,https://play-lh.googleusercontent.com/a-/AOh14Gix0jO_MDuC-yqtKCHClOKo8YDLCda5z7O1O0tY9wM,"Kok tambah ngawur, daftar vaksin booster, lokasi faskes sudah dipilih. Pas masukin tgl malah disuruh pilih faskes lagi. Tgl nya malah ga mau muncul. Aduh, kita mau daftar vaksin booster aja sulit. Mesti pake aplikasi Jaki, daftarnya. Da download malah ga bisa daftar 🤦‍♀️🤦‍♀️🤦‍♀️",1,17,1.2.42,2022-02-09 23:36:19,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IP",2022-02-10 08:37:47
gp:AOqpTOHbowMc7tNQdvyM6lDvV89KLgjCoVbAwGG0fQsLlnJkkB7wYr987nW1E3M7qZ-H_zEI5zYHSk-TFX3MXUA,Jandrylus 4,https://play-lh.googleusercontent.com/a-/AOh14GgdYapsRXvDl9J6RNTbLIrHYPwsOi8WVd1FNPF6sA,Scan barcode kolaborasi peduliLindungi tidak bisa digunakan untuk versi terbaru di perangkat Xiaomi reddmi 4 prime padahal scan langsung aplikasi lain yg berkolaborasi dengan peduli Lindungi bisa..... Tolong tindak lanjut kalo saya uninstall aja kalo gak bisa dipakai !!!!,1,18,1.2.38,2022-01-04 19:16:13,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #FA",2022-01-10 11:16:45
gp:AOqpTOHby5IRGnAhiFPZFL7x4fPe7OKd6WCXnsK2LoME8imH2fYQVu0kxE4GKBbUSu0Cy-Mdsnro4Rxgvra_tpE,Dany Channel,https://play-lh.googleusercontent.com/a-/AOh14GgBMU4LgXkaFveqabg_ZdlLSPHX3NTroeekobrL2A,Mau daftar booster tapinya katanya belum vaksin cek di aplikasi pl sudah ada tapi di jaki tidak ada,1,0,1.2.43,2022-04-08 11:55:03,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #AT",2022-04-08 14:25:12
gp:AOqpTOEs0Lw6mu4_4SPp-j1hm2sMTI1qym7XFoNnUeHrYvveKwNoukmv6L3CQZEEdrLaozj2yKI6gTZYgfFjIc8,nur zazin,https://play-lh.googleusercontent.com/a-/AOh14Gi0-zrfRAWRAYfhuRGmgAph4MfQfldiyUW7pWPx9A,verifikasi nomor hp tidak bisa. ini aplikasi sepertinya dipaksakan untuk di publish padahal belum ready.,1,0,1.2.44,2022-05-04 06:39:15,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id. Kakak juga dapat menggunakan ""Masuk dengan Google"" untuk melakukan registrasi akun JAKI. Terima kasih telah menggunakan JAKI :) #AHL",2022-05-09 13:52:04
gp:AOqpTOEBKaW167PvwGYg5InlG1tafFQBZvsmPrPfgQ-rzSVouwjomMyeK7DAUTHiRLhbgEfPNyzZR10Mrzujhio,puti yatera,https://play-lh.googleusercontent.com/a-/AOh14Gh6EVa1vZHUunEaInQoksVF4kKiigIOfqurXx5C,"Sangat membantu sekali. Gak sia² instal apk ini. Cari vaksin moderna dosis 2 di tangerang ga ada smua, stok kosong. Alhasil dgn apk ini akhirnya suami ku trbantu buat dpt vaksin di jkt. Good buat apknya, smoga kdpnnya lbh baik lagi ya👍👍",5,14,1.2.42,2022-02-22 13:28:23,"Hi kak, Terima kasih atas ulasannya ya. Kami akan terus berusaha untuk memberikan yang terbaik :) #IB",2022-02-22 14:08:21
gp:AOqpTOEtBB0_kG60KQzMsIYPeF0g0frsCXYHraDw0XtuXgy0GIRYwcKD79zET97b5vo9ig7_qxZRZBPxx-wTD5A,IMAM SANTOSO,https://play-lh.googleusercontent.com/a-/AOh14GjzTijywYh-YUuZRimUzWRaO4GWznuszp8aE-Js,Saya sudah vaksin booster melalui pendaftaran di JAKI namun kenapa sampai saat ini belum muncul notifikasinya baik di JAKI maupun di Peduli Lindungi padahal ini penting buat aktifitas kerja saya. Mohon penjelasan dan keterangan dari admin JAKI.,4,0,1.2.43,2022-04-04 18:33:05,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #IG",2022-04-05 10:52:06
gp:AOqpTOH8apUjgajv7jpK2-awmpsuPl1XAU5_0goRzdV8nM9-V7IrgHa9aOAQs-yym_NLFHAFB764XkFB5zXpABU,Rhapsody Kids,https://play-lh.googleusercontent.com/a-/AOh14GgmYYIyZvnijcUJ2XyZAobR-1iXPeuKuKDTM3lcng,"Kalau aplikasinya berguna dan bagus, Diem gak mau komentar. Kalau ada bug sedikit langsung bintang 1 dan komentar jelek². Semoga programernya bersabar menghadapi warga 62.",4,0,1.2.44,2022-05-14 16:04:54,"Hi kak, Terima kasih atas ulasannya. Kami akan terus berusaha untuk memberikan yang terbaik :) #AI
",2022-05-18 13:54:13
gp:AOqpTOGsReU9aqLt-p14f4gUQCqtId4MNTZio4vaPmXkY0Oy2WNxGOHgu-SquqVxtVa0SzNlE50KycrylIrHg30,widodo dodo,https://play-lh.googleusercontent.com/a/AATXAJxTViRvKdxDQ3b_q-HDsxcfrplTIh3Y01bNDkE=mo,Saya mau nanya jika mau buat pengaduan tentang masyarakat yang memarkirkan kendaraan mobil seenaknya di komplek sehingga memanggu kendaraan yang lain yang akan melintas bagaimna buat pengaduannya tks.,4,0,1.2.45,2022-05-20 12:13:38,"Hai, Kak. Silakan laporkan permasalahan yang ada di sekitarmu melalui aplikasi JAKI melalui fitur ""JakLapor"". Untuk menjaga privasi dan keamanan, kakak dapat menyembunyikan laporan melalui kolom privasi laporan dengan memilih ""Sembunyikan"". Terima Kasih telah menggunakan JAKI :) #NAF",2022-05-20 15:38:35
gp:AOqpTOEjny_PrT3puy-qbciRWuBK-zpLhIyVv2LyKsGKqtvjNzof8cueTf1pJO9EFQ-qGOiRz4_fUIsxVkxFqkA,AZURE 66,https://play-lh.googleusercontent.com/a-/AOh14GjXKYrlkFDEi_edSgZCdxfPYKDby7MxCA2iXj0pmg,"Perbaiki di beberapa halaman, seperti pendaftaran dan lokasi tinggal... Semisal tidak cocok harusnya ada peringatan di web nya/ halaman nya... Sekian",3,5,1.2.37,2021-12-13 11:49:37,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #AI",2021-12-13 11:16:30
gp:AOqpTOEOrk4OFjkcHSXAoWqZHQu6gWKQf570a2LNKsBFeg-qFb6GT-rdpW2m_K3vPoPufJYduTEuqeCTTRYz6Rw,Rafif Aditya wibowo,https://play-lh.googleusercontent.com/a-/AOh14Gi1EiulkuwFqmPQKmYJjj6gcClw3wC0kcn3AdntoIc,"Aplikasinya sbnrnya udh bagus,,cm knp ya sy mau masuk ke portal layanan dokumen udh aplod ktp,dll pas masukin pasword jaki nya ada tulisan error 403 apalah² gmn ini please help !!",5,18,1.2.40,2022-01-12 11:36:56,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #NL",2022-01-12 15:30:02
gp:AOqpTOHS4C3XDUrW1UYHLlU0cXleXo4eky0ZhYpeNiz0wL7tqHRjrccO8fPDsNRQBtDiUdfld-CO62msjMFLvUg,Honey Munadi,https://play-lh.googleusercontent.com/a-/AOh14GgKPjnbGgfa8wJs5eQWewvfpIpZfHtdeH2f4k5u,"dowload pbb kebanyakan data yg hrs diinput, susah ngisi formnya",3,0,1.2.44,2022-05-17 19:26:39,"Hi kak, mohon maaf atas ketidaknyamanannya. Mohon untuk menyebutkan kesulitan yang dihadapi dengan menjelaskan kronologi masalah melalui email kami di dki@jakarta.go.id, Terima kasih telah menggunakan JAKI :) #AT",2022-05-18 11:41:30
