userName,review,rating,date,Source
Baxter Borneo Bento,"Tambah lagi agenda kegiatan seni, pameran bisnis dll di aplikasi, sehingga warga yang berminat bisa tahu dan datang.",5,2022-03-13 23:08:19,App Store
Hextreme123,👍👍👍,5,2022-03-11 13:03:05,App Store
radhianhaidi,"Ga dapet email aktivasi akun, ga dapet email lupa password sudah berbulan bulan",1,2022-03-04 00:43:59,App Store
khanca,"Beberapa kali masukin nama dan NIK tapi suka gak respon, pemilihan lokasi vaksin juga ditungguin gak keluar2 hasilnya, udah dicoba beberapa kali tapi ttp sama",3,2022-01-27 10:54:13,App Store
Quarina,"Dulu hepi pake Jaki, sekarang reset password 3 hari belum dikasih linknya via email.",2,2022-03-01 05:07:33,App Store
wazowskimr,👍👍👍👍,5,2022-02-28 11:32:13,App Store
Ferry100589,Saya sudah daftar di tgl 28 feb 2022 utk vaksin boster. Tapi saat datang ke lokasi vaksin petugas tdk ada dengan alasan hari libur. Padahal di aplikasi masih ada sisa kuota.,1,2022-02-28 09:01:57,App Store
pgx.clara,"Mau aktivasi tetapi data nya tidak masuk ke E-mail. Coba login saja tapi tetap harus aktivasi dulu. Buat lagi dgn data yg sama tapi tidak bisa -,-",2,2022-02-28 01:55:40,App Store
Pink chery,katanya bs daftar vaksin booster. Tp setelah saya pilih lokasi trus mau pilih tanggal dibilang pilih lokasi terus..padahal sudah dipilih..tolong perbaiki,1,2022-02-04 10:00:01,App Store
Denspraw,"Sangat mudah untuk di gunakan, good.",5,2022-02-04 04:08:16,App Store
gens07,"Sudah daftar vaksin kuota-nya ada dan terjadwal di RS Marinir, tapi ketika dateng tepat waktu ternyata di RS nya ga ada kuotanya. Berasa di tipu ama ini aplikasi. Buang2 waktu doang",1,2022-01-31 04:05:14,App Store
woxdy,"Bukan warga jakarta tp butuh untuk daftar vaksinasi karena aplikasinya sangat informatif & lengkap. Jauh dibanding kota tempat sy tinggal yg info vaksinasinya amburadul & cm mengandalkan 1 tempat vaksinasi terpusat yg bahkan minim info & tidak punya aplikasi semacam ini.
Review2 negatif tentang aplikasi ini kebanyakan cuma serangan politis dr manusia2 partisan amoral yg menghalalkan segala hal termasuk berbohong untuk urusan syahwat politiknya.",5,2022-01-29 09:35:17,App Store
sagitad,"Ga bisa log in dan ada tulisan aktivasi akun terus dan terjadi kesalahan terus. Padahal urgent bgt mau buru2 bayar, aplikasinya tidak membantu sih",3,2021-10-29 04:44:33,App Store
azizahlisa,Masukin nama dan nik berkali2 tulisannya nama salah. Padahal di peduli lindungi sudah sama. Capek deh,2,2022-01-14 15:22:35,App Store
nsueiwjhdhajdi,aplikasi ngga guna,1,2021-12-02 23:48:12,App Store
bubbleclick,Keren banget!!,5,2021-11-15 03:26:59,App Store
@Fajarnovredo,Pas buat aplikasi nya kayaknya di korupsi dah sama wan aibon jadi nya ga maksimal kualitas app nya🤣,1,2021-11-07 13:03:23,App Store
Aryo Iswan,"Emang gak semua masalah vaksin ada di aplikasinya sih. Kadang di lokasi vaksinnya yg gak ngerti. Saya udah daftar lewat aplikasi, dapet jadwal, pas sampai lokasi ditolak.
Langsung lapor ke DM twitternya DKI, terus langsung dibantu sampai bisa vaksin. Akhirnyaaa. Tolong diperbaiki di lapangannya. Kalau aplikasinya udah ngebantu banget kok",5,2021-11-01 04:58:04,App Store
Dssghyd,Dari kemaren minta email ga dapet2.,2,2021-11-01 04:20:49,App Store
bothflick186,"Bukannya mempermudah malah mempersusah masyarakat, mau daftar vaksin harus lewat app, and then? Daftar diri di app terus gagal, email verifikasi gak pernah kekirim, TERUS GIMANA EMAIL AMPE ABIS 5 BIJI DAN USERNAME UDAH GONTAGANTI??????? GUE MAU VAKSIN BUKAN MAU ANTRI BANSOS KORUPSI YG ISINYA GA LAYAK BLOKK!!",1,2021-10-30 20:28:18,App Store
Jess' mom,Susah banget yah daftar vaksin kedua. Biasanya jadwal yang tersedia seminggu ke depan ini kenapa hanya 1 hari kedepan aja? Lalu aplikasinya kalau di pilih agak susah.,3,2021-10-28 04:33:49,App Store
RodWin89,Mohon perbaiki dari sisi server yg kirim email verifikasi. Hingga saat ini tidak pernah berhasil daftar JAKI.,1,2021-10-28 04:33:01,App Store
sari wardhani,"Halo min, saya penduduk KTP DKI, tolong dibuka layanan call centernya untuk aplikasinya, saya sudah 2 kali daftar vaksin covid melalui aplikasi JAKI tetapi tidak bisa, selalu tertulis ""menunggu konfirmasi jadwal dari Pcare""?? Saya telpon ke BPJS katanya itu dari JAKI nya? Jd harus tanya kemana? Tolong direspon min. Terimakasih",1,2021-10-28 04:23:15,App Store
fahmimaa,"saya baru aja daftar vaksin moderna dosis kedua, terus aku login pake NIK dan Nama tapi gabisa masuk, eror terus padahal aku coba di platform lain, juga bisa di jaki setelah daftar vaksin jadi gabisa masuk, ini kenapa? mohon bantuannya.",3,2021-09-16 12:18:12,App Store
apanyee,"gabisa login padahal udh coba ganti kata sandi nya waktu mau login ada tulisan “aktivasi akun anda” aktivasi nya itu gmn,bener2engga di kasih arahan nya jadi bingunggggg",1,2021-10-22 16:47:27,App Store
JVrant,Tidak bisa log in,1,2021-10-11 09:52:23,App Store
lid12344,"Saya daftr vaksin udah berhari2 ga dpt kelanjutan, email aja reply nya lama. Chat di virtual assistant jg gaada respon. Gmn sih??? Katanya CRM cepat respon masyarakat nyata nya ga sesuai slogan 😡",1,2021-10-06 11:39:02,App Store
nizamalfian,"Ketika mau daftar ulang vaksinasi, kategori tidak muncul padahal itu mandatori. Jadi tidak bisa vaksinasi.",2,2021-10-04 04:54:05,App Store
nda1312,"Selain buat daftar vaksin, JAKI juga selalu kasih info tiap hari tentang kasus covid di Jakarta, cuaca hari itu, dan sebagainya. Jadi ga perlu repot gugling ini itu.",5,2021-09-28 10:08:25,App Store
trinadawcitra,"Terima kasih JAKI, berkat jaki jadi tau informasi seputar jakarta dalam satu genggaman :)",5,2021-09-28 03:58:26,App Store
Ikaaw,Aplikasi yang sangat membantu!,5,2021-09-28 03:53:20,App Store
BONDsssssssa,Makin gampang dengan JAKI 🤩,5,2021-09-28 03:37:05,App Store
verlyaulyac,Vaksin gak ribet dan mudah proses administrasinya. Pakai JAKI aja .,5,2021-09-28 03:30:04,App Store
rickysugiri,"Anak saya mau vaksin kedua mau daftar ulang padahal sudah h-7 kenapa tertera silahkan mendaftar ulang vaksin kedua h-7, padahal
Sudah h-7. Ini aplikasi banyak error nya.",1,2021-09-27 18:34:56,App Store
daroktav,Bener bener baru tau ada aplikasi jaki dan ternyata ngebantu bgt buat vaksin. Semoga semakin banyak inovasinya yaa!,5,2021-09-24 22:52:20,App Store
fildzayu,"Kok mau buat akun gak bisa terus??? Udah di download ulang, di update masih aja gak bisa! NYEBELIN ABIS! ORG BUTUH TAPI MALAH ERROR MULU",1,2021-09-24 17:01:11,App Store
howardzzzzzzzzz,Saat pilih daftar new account tidak ada respon untuk download PBB,1,2021-09-19 02:20:18,App Store
666jak,"Untuk penggunaan cukup mudah. Satu hal yang perlu dipertimbangkan, kalau check in QR code ke suatu area, kemudian tidak ada pilihan check out; harus scan QR lagi. 

Kadang suka lupa check out, jadi gabisa check in di tempat lain. Harus install ulang atau pakai pedulilindungi",4,2021-09-17 13:24:31,App Store
bundaretha,"Saya mencoba fitur baru di aplikasi jaki yang bekerja sama dengan peduli lindungi, yaitu fitur check in bila ingin memasuki gedung atau pertokoan.

Setelah scant barcode bisa check in ke dalam gedung tsb, tapi saat check out malah di minta scan barcode.
Setelah coba di scan ga bisa check out.",4,2021-09-16 15:23:37,App Store
annasilaban,"Gak habis pikiran gw, umur gw berkurang 10 hr cuma buat daftar vaksin doang, Ini yg ngerjain siapa sih? nyusahin org aja cuk..",1,2021-09-13 05:24:46,App Store
lalamove user,"Mau daftar ulang vaksin kedua kuota full semua, gk jelas juga mau hubungi kemana. Gk vaksin akrivitas di hambat, mau vaksin dipersulit. Tragis oyyyy naseb !!",1,2021-09-13 03:41:07,App Store
gnsiftkhr,Verifikasi via emailnya lama bgt. Pdhl sehrsnya otomatis terkirim setelah kita mendaftar,1,2021-09-12 02:02:54,App Store
zaradyt,Aplikasi pemerintah emang gaada yang bener👎🏻,1,2021-09-09 13:10:43,App Store
ag see js bgt dhsn,"applikasi JAKI ini sangat sangat tidak jelas. masa sudah book dan lakukan prescreening online 2 hari lalu untuk jadwal vaksin hri ini di lokasi yg dj tentukan. ditolak waktu smpe tmpt tersebut, hanya karena hasil prescreening tidak bisa di downlod. lagh apakah ini salah saya ? org memang ketika saya coba lakukan prescreening lgi juga hasilnya tidak muncul , bagaimana bisa di download?! 
are you kidding me ?!
pls second dose of vaccine astra is not easy to find yeah. tolong di benahi. skrg saya mau jadwal ulang dah ga bisa hadeh.",2,2021-08-26 11:23:04,App Store
med.d,"User friendly, informatif, banyak info menarik",5,2021-09-08 11:39:00,App Store
firlisanuki,"coba daftar utk dosis kedua via jaki ko gabisa ya faksesnya penuh semua, pdhal di data kuota vaksinasi JAKInya masih ada ko tersedia
semua wilayah penuh, trs skrg mau daftar gimana dong?!",1,2021-09-08 10:38:07,App Store
xsarahftr,Mantapp sekalii,5,2021-09-08 04:35:54,App Store
kevinmartinanthony,"mempermudah, menarik, sangat inovasi",5,2021-09-06 09:45:53,App Store
Hannabayu,Thanks jaki daftar vaksin jadi gampang😘,5,2021-09-06 09:39:37,App Store
rima aknesia,"Gampang bgt daftar vaksin lewat Jaki, gak harus nunggu lama, membantu bgt. Keren",5,2021-09-06 08:49:50,App Store
dittar,Semoga semakin banyak fitur pelayanan publik yg terintegrasi,5,2021-09-06 08:45:43,App Store
Yurgen Sutarno,Saya daftar vaksinasi lewat JAKI. Cepat dan gampang. Langsung dapet sertifikat juga dari peduli lindungi. Semoga tambah maju ya JAKI!,5,2021-09-06 08:40:21,App Store
kemalasan,"In term of functionality, its help me out the keep update whats happened in our city Jakarta, the last update about collab with pedulilindungi, its pretty impressive how this apps provide what we need to moving forward for faces this pademic. Good job! Pleasant to be user! Happy life stay healthy!",5,2021-09-06 08:32:16,App Store
Ega Rasyid,"Terimakasih jajaran Pemprov DKI serta Gubernur ku .. aplikasinya jelas, mudah, keren, update terus, mantap lah. Keep up the good work! Proud of you!!
Yg kasi bintang1, sekolah gak sih? Sampe aplikasi mudah begini gak paham 🤣🤣",5,2020-09-22 11:59:01,App Store
Badar Teguh,"Gimana ya ini kok hasilnya tidak boleh keluar? Saya tidak pernah ada kontak, tidak ada symptomps, dan saya merasa applikasi ini dibuat tidak serius, hanya cari uang kecil dari app atau gimana ya? Applikasi ini tidak relevan dengan apa yang saya isi",1,2020-07-16 14:37:41,App Store
harrys7887,"Gw udh 3 Bln diem d rumah ga ada Contacts dengan orang yang terinfeksi, suhu tubuh normal ,dalam 7 Bln terakhir belum pernah bepergian ke luar negeri . Masih di bilang tdk aman untuk bepergian . Gila kali",1,2020-07-16 08:06:06,App Store
Jk Susilo,"Aslinya aplikasi ini di peruntukan untuk siapa ? ( Warga DKI Jakarta atau warga di luar Jabodetabek ). Alamat yg diisi tdk sesuai dg kabupaten/kota , kecamatan serta kelurahan. Sementara kolom kabupate/kota , kecamatan dan kelurahan hanya menampilkan wilayah Jakarta. Sedangkan SIKM diperuntukan juga bagi warga luar non Jabodetabek. Terus hasil test JakCLM sendiri statusnya tdk jelas boleh bepergian atau tidak ! Yg tertera hasil test di saya adalah “Anda belum masuk dalam katagori prioritas untuk mengikuti rapid test/PCR “ Kalau demikian status nya apa jika seperti ini hasilnya ? 🤔🤔🤔. Trims",1,2020-06-28 13:31:15,App Store
ok..123,"Ini sebenarnya nggak ada gunanya karna sudah ada aplikasi ehac yg memgakomodir semuanya.. dan hasil test clm tidak masuk di aplikasi, melainkan masuk lewat email yang buat kita ribet karna harus ke app email lg... sya dr bandung dan hanya melewati jakarta karna harus pergi ke bandara soeta untuk balik ke kota asal.. katakan selamat tinggal dan aplikasi buang2 anggaran untuk ini.. byeee kebodohan",1,2020-08-01 03:44:39,App Store
Dianbk,"Hasil CLM sangat tidak relevan dengan kondisi sebenarnya. Jujur aja yg ngasih bintang 5 tujuannya apa? Mau naikin rating app? Klo bagus sih ga masalah, tp kenyataannya banyak user yg merasa dirugikan dengan hasil CLM. Ga usah bohongi publik! mending fokus perbaiki total app nya. Klo app nya udah diperbaiki, nanti jg naik ratenya.",1,2020-07-28 12:54:10,App Store
Andrean S,"Machine learning gigi lu gendud
Hasilnya ga akurat bgt, gw udh 3 bulan lebih ga kemana2 cuma aktifitas di kamar doang hasilnya 37%? Wtf? Ini app malah bikin parno doang. Tolol lah",1,2020-07-15 15:22:59,App Store
Rikhzar,Dianggap tidak aman padahal tidak ada riwayat kontak dan atau pun bepergian dalam 14 hari terakhir. Suhu tubuh juga normal.,1,2020-07-15 14:42:55,App Store
mrsays97,Sy dr kmren stay dirumah trs. WFH. juga udh ngisi sejujur2nya. eh malah dilblg tidak aman berpergian. emg yang aman bepergian itu org yang sesek napas? atau demam? atau suhu tubuh 38 kali ya?,1,2020-07-15 12:58:28,App Store
mc.civil,"Saya sudah mengisi semua pertanyaan dengan baik dan benar, bahkan saya pun tidak pernah terkena penyakit dan tidak pernah berkontak dengan pekerja rumah sakit bahkan ODP. Nilai skor saya semua nya tiba2 cuma 39% dan di nyatakan *TIDAK AMAN* kan ini aneh 😒😒😒.",1,2020-07-15 12:57:28,App Store
Ade wulan,Tp blm bs aktivasi tlng gmn caranya spy sy bs pk jaki 🙏🏻🙏🏻,3,2021-07-16 17:00:39,App Store
Masdim82,"Saya berasal dari zona yang lebih aman dari jakarta, tidak mengalami gejala gejala covid 19, sudah  dibuktikan dengan swab test negatif. Tapi dengan test yang isinya menjawab pertanyaan,saya di nyatakan tidak aman untuk berpergian ke jakarta. Benar benar hebat pembuat aplikasi ini.",1,2020-07-15 12:42:50,App Store
M Bayu Prabowo,"Apapun jawaban anda, anda dinyatakan tidak aman. Nice, machine learning!",1,2020-07-15 12:23:59,App Store
Saya Bingung,"Hasil tes nya gak jelas, suhu normal, tidak ada gejala Flu dll, tidak kontak dgn Pasien Covid/ODP, bukan NAKES tapi hasilnya TIDAK AMAN ini gmana pertanggungjawabannya..apa masih percobaan aplikasinya??",1,2020-07-15 12:16:55,App Store
maulllllaaaa,"Tidak pernah keluar kota, tidak pernah berpergian, tidak sakit, tidak ada gejalaa. wfh, tidak bersentuhan dengan pasien atau sejenisnya. Hasilnya 37% :)

Entah dari mana tapi yang jelas, CLM sebagai ganti SKIM tidak bisa jadi patokan sama sekali. 

Sebaiknya di perbaiki atau di revisi kembali.",1,2020-07-15 11:16:07,App Store
adityaay,Oi hasil tes hilang gimana ini ? Ga dibenerin. Mau tes lg udah seminggu malah gabisa 😒,1,2020-07-14 16:00:43,App Store
Raditya Kottama,Tidak dapat melihat hasil tes JakCLM sedangkan butuh waktu seminggu untuk tes kembali. Mengecewakan 👎,1,2020-07-13 10:00:43,App Store
Tengku Desliyani Aljuffri,"Hasilnya kok tidak bisa disave ya? Pas klik tombol simpan malah yg muncul layar kosong aja dan belum sempat di screenshot hasil yg sebelumnya. Dan ga bisa diakses untuk hasilnya, mohon dapat dibantu karena pas dicoba lagi ternyata harus ikut tes lagi seminggu kemudian..",2,2020-07-13 05:59:50,App Store
atawcious,Knp sy di suruh download ini sama guru🗿,4,2021-09-01 01:20:16,App Store
lindameiling,"Daftar vaksin malah full smua ga ada kuota, buat apa bikin aplikasi kl ga bs d pakai",1,2021-09-04 11:43:19,App Store
[Kiv],"app gila, dimana mempermudahnya coba",1,2021-09-02 03:39:14,App Store
ellindvhn,Saya ingin menggunakan test CLM tapi berulang kali status landing page tertulis maintenance server. Semoga bisa lebih ditingkatkan kehandalan aplikasinya yaaa,2,2021-08-29 08:10:40,App Store
isisejwjhevecrihueyehsbdbebehe,Lemot parahh mau isi clm gak bisa2 bad gateway terus 😡,1,2021-08-30 07:11:39,App Store
ditarinnga,"Susah bgt ngeklik menunya. Beberapa menu malah ngga bs discroll smpe ke bawah, jd susah liat datanya. Tadi saya buka jadwal vaksin, haduuuu susah buat sortir2 data dan check atau uncheck option square nya. Bikin yg lebih user friendly dong.",1,2021-08-29 10:13:11,App Store
McLarenMilan,"Sangat membantu masyarakat dalam mengakses kegiatan di wilayah Jakarta.
Mempermudah dalam pelaporan masyarakat ke pemerintahan.",5,2021-08-29 00:17:14,App Store
Aru_mi,"App sampah, baru section 1 aja udah di sambut “bad gateway” dilanjutkan setiap kolom nama pilihan nya (kec/kel/dll) tidak mau muncul tapi harus di isi, gmn mau selesai isi, buang2 waktu
Tapi di paksa utk install oleh sekolah",1,2021-08-29 05:29:03,App Store
sugarytyka,Makasih sudah memudahkan,5,2021-08-27 07:16:33,App Store
Netizen Qluers,Saya bisa mendaftarkan seluruh anggota keluarga saya untuk vaksin dengan sangat mudah👏🏾,5,2021-08-26 13:59:26,App Store
HILDMAN GY,"APLIKASI KURANG JELAS! TIDAK ADA KETERANGAN JENIS JENIS VAKSIN ,CUKUP KECEWA 👎🏻👎🏻👎🏻",1,2021-08-27 00:23:56,App Store
hirishskalq,"Mau daftar vaksin kedua dioper ke laman cek fasilitas tersedia. Ketika lamannya dibuka, ternyata error tidak muncul data fasilitasnya. Laman ditutup, pendaftaran tadi diulang lagi dari 0.

Diulang-ulang sampai sekarang tetap tidak bisa😂",1,2021-08-26 07:09:52,App Store
-ms.-,"jadwal dan ketersediaan kuota vaksin tidak jelas sehingga menyulitkan pendaftaran. tolong perhatiaannya.
untuk vaksinasi ke 2 sebetulnya perlu atau tidak untuk mendaftar ulang? karena tidak bisa check melalui call center.",3,2021-08-09 06:24:54,App Store
tiffanyaisyah,Keren aplikasi ini! Terutama di masa pandemi ngebantu banget beraktivitas di Jakarta! Ditunnggu fitur baru lainnya!,5,2021-08-26 04:14:46,App Store
didadidog,applikasi yang membantu kegiatan di Jakarta,5,2021-08-26 04:10:06,App Store
helbuddy,"Really useful for jakarta citizen, integrated services from the government",5,2021-08-26 04:07:45,App Store
BosDividen,Pake Internet  100 mbps tetep aja lemot nih aplikasi,1,2021-08-26 01:15:36,App Store
Didi G.K,"Jangan sembrono mempublikasikan data, hari ini saya liat persentase kematian karena covid 19 di Jakarta sebesar 97.5% dengan tingkat kesembuhan sebesar 1.6% kemudian data direvisi karena prosentasenya tertukar, lain kali agar lebih teliti sebelum mempublikasikan data.",1,2021-08-24 13:41:31,App Store
riaama,"BIKIN LAPORAN MENGENAI BANSOS , DATA SAYA MALAH DI SEBARIN KE RT NYA. SAYA DI SIDANG PADAHAL SAYA ADA BUKTINYA. AKHIR NYA SAYA JD BAHAN BULIAN DI GRUP WA RT🤬",1,2021-08-24 08:23:08,App Store
Mia Harjoni,"Saya mau daft in anak saya vaksin, tp saat mau cek lokasi yg tersedia, setiap di klik kembali ke menu awal dan hrs isi data lagi, begitu terus berulang2.. Gimana mau dukung pemerintah kalau aplikasinya aja abal2 gini",1,2021-08-24 04:28:14,App Store
Aditya Wayer,Jossss,5,2021-08-20 05:29:39,App Store
heem1212,ini kenapa yaa saya mau daftar vaksin bacaannya server sedang sibuk mulu tolong dong yaa!!!!,4,2021-08-18 07:06:26,App Store
rmdhgma,Mantappp 3 periode pakgub,5,2021-08-16 18:01:56,App Store
dyfanjeremiah,"Bener-bener enak banget vaksin pake aplikasi JAKI. Fyi, untuk yang sebelumnya sudah vaksin di lokasi A, pas vaksin kedua gaperlu daftar lagi, TAPI SYARATNYA HARUS DI LOKASI YANG SAMA YAA!😊 Thank you JAKI, thank you Pak Anies dan thank you untuk seluruh petugas Vaksinasi COVID-19. Kiranya Tuhan senantiasa memberkati kalian🙏",5,2021-08-16 01:30:38,App Store
Doniee Yoon,"Saya Sudah Di Vaksin Yg Pertma. Dan Yg Ke Dua Mau Di Daftarin Kouta Penuh Semua
Pdhal Sudah Di Ganti2 Alamat'y. Tpi Tetap Saja Kouta Penuh
TGL 11-08-2021 Terjadi Eror Ngga Bisa Masuk JAKI
Tolong Di Perbaiki. Saya Sudah Niat Mau VAKSIN, Jgn Di Persulit. Ntah Kouta Sudah Penuh/DLL",1,2021-08-11 05:33:43,App Store
reyhanprtrs,"Halo, untuk aktivasi email perlu menunggu beberapa lama yang membuat beberapa orang pikir mungkin “yah error” padahal lama aja. Lalu untuk pengecekan vaksinasi, masih ada null yah yang di tampilin heheh. Keep it up!🔥",4,2021-08-10 15:10:07,App Store
indro_lazy21,"Aplikasi tolong update secara berkala dan cepat. Saya udah beberapa hari mau aktifkan saja gak dapat email aktivasi. Saya menggunakan iphone 7 plus ios 14.7.1

Aplikasi digital sangat penting saat ini. Tolong di respon",3,2021-08-01 08:49:21,App Store
guehand,sy sudah daftar tapi tidak terima email aktivasi. sy liat bnyk yg komplen serupa tp malah disuruh jelasin kronologi padahal sdh jelas,1,2021-08-06 15:51:56,App Store
jackyrizkya,Saya sudah terima vaksin 1 tapi di JAKI diberitahu bahwa saya blm vaksin,2,2021-08-02 01:32:57,App Store
ferrelbmw,"tampilan bagus, ui rapih gampang dimengerti, banyak fitur keren, tapi beberapa data agak kurang akurat kayak harga pangan. setidaknya bisa kasih gambaran harga2.",5,2021-08-01 09:00:43,App Store
mex172,"Daftar vaksin di jaki h-1 udh dapet tempat, sampe lokasi vaksin di serahin formulir dari jaki ngk mau, harus daftar manual di lokasi terus apa gunanya aplikasi ini ???!",1,2021-08-01 08:27:27,App Store
si 5,"Sudah masukan email dan password, disuruh cek email tapi di email tidak ada link aktivasi yang muncul. Di spam juga tidak ada. Sudah berkali-kali dicoba reset tp di email tidak ada email masuk dr Jaki.",1,2021-07-31 06:01:59,App Store
kholiddf,"Saya udah vaksin tapi kok statusnya blm berubah ya, keterangan di aplikasi masih belum vaksin.",3,2021-07-13 07:50:43,App Store
christinethenn,saya sudah terima dosis vaksin 1 tp knp jaki blg saya blm vaksin yah?,2,2021-07-25 06:34:45,App Store
Octoberphillip,"Saya sudah melakukan registrasi untuk vaksinasi dan mendapatkan kuota di tempat sesuai yang ada di pilihan.
Namun pada hari H, setelah sampai di lokasi ternyata saya tidak bisa vaksin dengan alasan kuota habis karena banyak yang datang dan mengambil antrian namun belum daftar JAKI.
Percuma kalau sudah pilih jdwal dan dapat kloter di JAKI tapi aktual di lapangannya tidak berguna.",1,2021-07-22 03:20:00,App Store
riadhnurul,"udah daftar pake aplikasi milih jam sama aja tetep ikutin nomer antrian yg membludak, saya kira bakal dipermudah. percuma.",1,2021-07-17 01:28:30,App Store
Lan-jut,Kenapa selalu ga bisa dibuka ya dan alamat ga ke-detect padahal gps udah on,2,2021-07-15 09:09:45,App Store
Mugumugubizz,yaampun mudah sekaliiii dan meminimalisir keramaian saat pendaftaran. AYUK DOWNLOAD JAKI BUAT KEMUDAHAN VAKSIN :),5,2021-07-14 03:58:17,App Store
Mie juhi,"Saya sudah daftar utk log in ke aplikasi, tapi tidak menerima email verifikasi, jadi nggak bisa2 log in. Sudah cek spam/ junk mail juga ngga ada email nya. Minta reset password juga nggak dapet email nya. Ini gimana sih ni aplikasi?? CS contact center nya dimana??",2,2021-07-13 08:29:10,App Store
Michael Neriko,"Knp jenis vaksinnya ga dikasih tau?
Info lengkap kasih jenisnya jg Sinovac/Astra",3,2021-07-09 04:11:07,App Store
Kuroneko!,Mau lapor takut kena bully.,1,2021-07-11 18:13:31,App Store
anissacute,Mempermudah pendaftaran thanks jakiii😘,5,2021-07-11 12:52:57,App Store
Waladyahlan,bermanfaat,5,2021-07-11 11:49:10,App Store
Monicasriyanu,"Saya membuat laporan ke aplikasi jaki namun beberapa laporan tidak betul2 diproses. Lalu pelapor diberitahukan identitasnya kepada masyarakat/warga yang dilaporkan. Pengubahan email diaplikasi tidak berfungsi, email csnya juga tidak direspon.",1,2021-07-11 09:12:11,App Store
Sayidmaulana,"Sediakan juga dalam versi english, kan bisa memudahkan foreinger untuk akses aplikasi ini. Kalau smart city kan secara tidak langsung mau mensejajarkan jakarta sebagai kota internasional juga",4,2021-07-02 15:37:25,App Store
caesarlou,tidak ada email masuk terkait verifikasi akun. reset password tidak bisa. registrasi ulang tidak bisa.,1,2021-07-08 13:59:54,App Store
BETAWINESE,Aplikasi tidak bisa digunakan untuk membuat laporan kerumunan,1,2021-07-08 07:48:49,App Store
feby ardianto,"Kepada Tim developer aplikasi Jaki, tolong di update secara berkala untuk perbaikan bug maupun penambahan fitur serta penyegaran UI untuk aplikasi ini.",5,2021-07-08 03:49:12,App Store
fendriosyam,"Lokasi vaksinasi tidak ditemukan, dari yg sesuai kelurahan di KTP sampe yang beda wilayah administrasi. Tolong kalau bikin aplikasi yg becus! Lengkapi dulu semua informasi dan fasilitas yg diperlukan lalu ajak masyarakat untuk download dan akses aplikasi. Ini masih kayak aplikasi uji coba. Ga guna!",1,2021-07-05 12:07:29,App Store
Al_wani,Memudahkan sekali nih aplikasinya,5,2021-07-05 04:36:50,App Store
Sensualita,Ini gimana sih mau daftar vaksin faskes nya tidak tersedia terus. Walau pun coba beberapa daerah … semua nya tidak tersedia,1,2021-07-03 00:14:56,App Store
Thurdy Luv,"Applikasi ini ujicoba atau apa ya, sepertinya belum layak untuk di propaganda kan terlalu banyak kekurangan 😤",2,2021-07-02 15:03:18,App Store
KluvFe,"Tanggal Vaksin gak ada, setelah pilih beberapa lokasi, ini mksdnya gmna ya?",3,2021-06-29 23:15:53,App Store
